Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
GIO,Alfa Romeo,45.0,80.97500000000001,2.0,MEDIUM,1.0,19.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,24.26580761162721
LEC,Ferrari,10.0,105.58800000000001,2.0,HARD,1.0,20.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,31.64159424632904
LEC,Ferrari,17.0,,3.0,SOFT,1.0,20.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,
GAS,Red Bull Racing,23.0,102.43900000000001,2.0,MEDIUM,1.0,9.0,2019,Spain,False,8,4.657,4,3.0,3.0,3.0,3,5,4,5,21.996779042301913
GAS,Red Bull Racing,47.0,135.989,3.0,SOFT,4.0,6.0,2019,Spain,False,8,4.657,4,3.0,3.0,3.0,3,5,4,5,29.200987760360746
PER,Aston Martin,25.0,103.03800000000001,2.0,MEDIUM,1.0,16.0,2019,Spain,False,8,4.657,4,3.0,3.0,3.0,3,5,4,5,22.125402619712265
PER,Aston Martin,46.0,136.82600000000002,3.0,SOFT,4.0,14.0,2019,Spain,False,8,4.657,4,3.0,3.0,3.0,3,5,4,5,29.380717199914113
LEC,Ferrari,26.0,103.60700000000001,2.0,HARD,1.0,4.0,2019,Spain,False,8,4.657,4,3.0,3.0,3.0,3,5,4,5,22.247584281726436
LEC,Ferrari,47.0,134.639,3.0,MEDIUM,1.0,5.0,2019,Spain,False,8,4.657,4,3.0,3.0,3.0,3,5,4,5,28.91110156753275
STR,Aston Martin,23.0,103.247,2.0,SOFT,1.0,17.0,2019,Spain,False,8,4.657,4,3.0,3.0,3.0,3,5,4,5,22.1702812969723
MAG,Haas F1 Team,24.0,101.623,2.0,MEDIUM,1.0,14.0,2019,Spain,False,8,4.657,4,3.0,3.0,3.0,3,5,4,5,21.821558943525876
MAG,Haas F1 Team,46.0,135.493,3.0,SOFT,4.0,8.0,2019,Spain,False,8,4.657,4,3.0,3.0,3.0,3,5,4,5,29.094481425810606
ALB,AlphaTauri,26.0,103.45100000000001,2.0,MEDIUM,1.0,13.0,2019,Spain,False,8,4.657,4,3.0,3.0,3.0,3,5,4,5,22.21408632166631
