Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
NOR,McLaren,15.0,108.02600000000001,1.0,SOFT,18.0,12.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.46722243273968
HAM,Mercedes,15.0,106.07900000000001,1.0,SOFT,18.0,4.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.09833270178098
VET,Ferrari,14.0,106.62700000000001,1.0,SOFT,17.0,5.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.202159909056466
RUS,Williams,26.0,109.32100000000001,1.0,MEDIUM,26.0,18.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.712580522925354
RUS,Williams,42.0,110.26100000000001,2.0,SOFT,16.0,16.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.890678287230013
RAI,Alfa Romeo,12.0,109.402,1.0,SOFT,15.0,16.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.727927245168626
BOT,Mercedes,23.0,106.05000000000001,1.0,SOFT,26.0,2.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.092838196286475
GRO,Haas F1 Team,15.0,116.519,1.0,SOFT,18.0,14.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,22.076354679802957
KUB,Williams,28.0,110.77900000000001,2.0,MEDIUM,28.0,19.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.988821523304285
KUB,Williams,44.0,108.376,3.0,SOFT,16.0,17.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.533535430087156
GIO,Alfa Romeo,27.0,115.685,1.0,MEDIUM,27.0,16.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,21.918340280409247
GAS,AlphaTauri,18.0,99.23100000000001,1.0,SOFT,21.0,6.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.088169450662992
PER,Aston Martin,19.0,99.894,1.0,SOFT,19.0,8.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,17.202342001033237
PER,Aston Martin,41.0,98.643,2.0,MEDIUM,22.0,11.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,16.986912347167213
